muB,nB,energy,pressure,mue
4.70942327328531,4.90052687906398e-14,2.2930470604131363e-13,1.5414313600076875e-20,0.0025915286177265406
4.709423280352695,4.966751832676183e-14,2.324034941773019e-13,1.5762991183874798e-20,0.002591542673177807
4.709423287483589,5.033871925000129e-14,2.3554416751492903e-13,1.6119556406394246e-20,0.002591556854935657
4.709423294678564,5.101899259490582e-14,2.3872729239741433e-13,1.6484187703454792e-20,0.002591571164135121
4.709423301938197,5.170846103345258e-14,2.4195344282981777e-13,1.6857067572513545e-20,0.0025915856019214276
4.709423309263066,5.240724889732429e-14,2.452232005832738e-13,1.7238382623819285e-20,0.0025916001694500984
4.709423316653757,5.311548220029694e-14,2.485371552997469e-13,1.7628323672489884e-20,0.002591614867887037
4.709423324110864,5.383328866111254e-14,2.5189590459905915e-13,1.802708588174386e-20,0.0025916296984086254
4.709423331634983,5.456079772649286e-14,2.5530005418657425e-13,1.843486882769559e-20,0.0025916446622018165
4.709423339226718,5.5298140594654807e-14,2.5875021796323144e-13,1.8851876560740278e-20,0.0025916597604642307
4.709423346886671,5.6045450238830224e-14,2.6224701813559904e-13,1.9278317810170447e-20,0.002591674994404248
4.709423354615457,5.68028614315506e-14,2.6579108532950684e-13,1.9714405977355388e-20,0.0025916903652411106
4.7094233624137,5.757051076880774e-14,2.693830587030985e-13,2.016035932671656e-20,0.002591705874205014
4.70942337028202,5.834853669486914e-14,2.7302358606294795e-13,2.0616401047112547e-20,0.0025917215225372105
4.709423378221043,5.913707952728785e-14,2.767133239810852e-13,2.108275936096785e-20,0.002591737311490106
4.709423386231411,5.993628148231273e-14,2.804529379138952e-13,2.155966768114554e-20,0.0025917532423273618
4.709423394313764,6.07462867005072e-14,2.8424310232199325e-13,2.2047364679152772e-20,0.0025917693163239938
4.709423402468743,6.156724127287337e-14,2.88084500792465e-13,2.2546094462475058e-20,0.0025917855347664756
4.70942341069701,6.239929326730959e-14,2.9197782616266616e-13,2.305610661549959e-20,0.0025918018989528418
4.709423418999216,6.324259275537901e-14,2.9592378064547756e-13,2.3577656404131738e-20,0.002591818410192792
4.709423427376028,6.409729183934977e-14,2.9992307595583144e-13,2.411100485764164e-20,0.0025918350698077943
4.709423435828115,6.496354467987215e-14,3.0397643344021916e-13,2.4656418908485485e-20,0.002591851879131193
4.709423444356156,6.584150752372882e-14,3.0808458420653754e-13,2.5214171538947334e-20,0.0025918688395083125
4.709423452960832,6.673133873212181e-14,3.1224826925645185e-13,2.5784541897088482e-20,0.002591885952296568
4.709423461642832,6.763319880943708e-14,3.164682396199886e-13,2.6367815453620096e-20,0.0025919032188655732
